Campbellsville University,Campbellsville,KY,NAIA  ,M,W,         484,         609,"24,596","24,596",420,550,18,24,76%
Canisius College,Buffalo,NY,NCAA  I,M,W,         538,         571,"35,424","35,424",480,600,21,27,87%
University of California-San Diego,La Jolla,CA,NCAA  II ,M,W,         551,         632,"13,645","40,327",640,770,28,33,34%
Asbury University,Wilmore,KY,NAIA  ,M,W,         623,         827,"28,630","28,630",470,605,21,27,57%
Kutztown University ,Kutztown,PA,NCAA  II ,,W,"     1,431","     1,540","9,618","20,710",430,520,17,22,82%
Bloomsburg University ,Bloomsburg,PA,NCAA  II ,M,W,"     1,467","     1,066","10,154","21,246",440,540,18,23,88%
Millersville University ,Millersville,PA,NCAA  II ,,W,"     1,684","     2,156","11,494","20,854",450,550,19,24,73%
Lock Haven University,Lock Haven,PA,NCAA  II ,,W,"     2,110","     2,407","10,229","19,321",430,530,17,22,92%
East Stroudsburg University ,East Stroudsburg,PA,NCAA  II ,,W,"     2,154","     1,749","9,968","21,110",420,520,18,24,84%
Shippensburg University ,Shippensburg,PA,NCAA  II ,M,W,"     2,170","     2,369","11,452","19,542",440,550,18,23,89%
University of Texas Permian Basin,Odessa,TX,NCAA  II ,M,W,"     2,416","     2,251","5,774","6,958",460,540,18,22,84%
West Chester University ,West Chester,PA,NCAA  II ,M,W,"     2,529","     1,874","9,720","20,812",490,580,21,26,59%
Adams State University,Alamosa,CO,NCAA  II ,,W,"     2,557","     5,104","9,153","20,169",470,533,17,23,64%
Clarion University ,Clarion,PA,NCAA  II ,M,W,"     2,706","     3,265","10,287","14,764",420,510,17,22,96%
Saint Michael's College,Colchester,VT,NCAA  II ,M,W,"     2,810","     2,264","41,975","41,975",,,,,76%
Colorado Mesa University,Grand Junction,CO,NCAA  II ,M,W,"     3,041","     3,967","7,835","18,996",430,540,17,23,83%
University of Nebraska at Kearney,Kearney,NE,NCAA  II ,,W,"     3,043","     3,866","6,844","12,268",420,530,20,25,85%
Edinboro University ,Edinboro,PA,NCAA  II ,M,W,"     3,070","     3,428","10,074","10,640",420,520,17,23,96%
Franklin Pierce University,Rindge,NH,NCAA  II ,,W,"     3,084","     4,860","34,050","34,050",410,520,19,23,80%
Truman State University,Kirksville,MO,NCAA  II ,M,W,"     3,105","     3,637","7,456","13,940",560,680,25,30,79%
Northern State University,Aberdeen,SD,NCAA  II ,,W,"     3,383","     3,427","7,887","10,800",440,550,19,25,72%
Univ of North Carolina at Pembroke,Pembroke,NC,NCAA  II ,,W,"     3,401","     5,190","5,816","16,760",420,500,18,22,74%
Minnesota State University Moorhead,Moorhead,MN,NCAA  II ,,W,"     3,471","     2,563","8,114","15,250",481,570,20,25,77%
Cal State University-East Bay,Hayward,CA,NCAA  II ,,W,"     3,472","     2,962","6,564","17,724",,,,,74%
Lindenwood University - Belleville,Belleville,IL,NAIA  ,M,W,"     3,506","     5,108","16,332","16,332",460,560,20,25,55%
Lindenwood University,Saint Charles,MO,NCAA  II ,M,W,"     3,506","     5,108","16,332","16,332",460,560,20,25,55%
Alderson Broaddus University,Philippi,WV,NCAA  II ,M,W,"     3,671","     5,502","25,350","25,350",450,530,19,23,54%
Southern Connecticut State University,New Haven,CT,NCAA  II ,M,W,"     3,689","     3,623","10,054","22,915",410,500,18,22,65%
Colorado State University-Pueblo,Pueblo,CO,NCAA  II ,,W,"     3,697","     5,094","9,519","24,101",430,545,18,23,96%
Dixie State University,Saint George,UT,NCAA  II ,,W,"     3,926","     4,592","4,840","13,856",,,,,
Saint Cloud State University,Saint Cloud,MN,NCAA  II ,M,W,"     3,950","     4,786","7,910","15,828",450,585,19,25,86%
CUNY Queens College,Queens,NY,NCAA  II ,M,W,"     3,973","     5,229","6,938","14,048",530,620,,,40%
College of Idaho,Caldwell,ID,NAIA  ,M,W,"     3,993","     4,872","27,425","27,425",,,,,90%
Delta State University,Cleveland,MS,NCAA  II ,M,W,"     4,029","     3,234","6,418","6,418",470,560,18,23,87%
Western State Colorado University,Gunnison,CO,NCAA  II ,,W,"     4,035","     3,871","9,193","20,497",450,560,17,23,98%
Saginaw Valley State University,University Center,MI,NCAA  II ,M,W,"     4,070","     5,622","9,345","21,947",,,19,25,76%
Henderson State University,Arkadelphia,AR,NCAA  II ,M,W,"     4,125","     6,193","8,340","15,180",448,525,18,24,63%
Saint Ambrose University,Davenport,IA,NAIA  ,M,W,"     4,217","     2,860","29,150","29,150",,,20,25,73%
California University of Pennsylvania,California,PA,NCAA  II ,,W,"     4,327","     6,265","10,339","14,673",410,510,17,22,85%
Fairmont State University,Fairmont,WV,NCAA  II ,M,W,"     4,462","     4,514","6,950","14,666",410,510,18,23,65%
Assumption College,Worcester,MA,NCAA  II ,,W,"     4,538","     4,311","36,260","36,260",,,,,76%
Minnesota State University-Mankato,Mankato,MN,NCAA  II ,,W,"     4,677","     4,932","7,858","15,602",,,20,24,67%
Morningside College,Sioux City,IA,NAIA  ,M,W,"     4,811","     4,596","29,094","29,094",,,20,26,56%
Tiffin University,Tiffin,OH,NCAA  II ,M,W,"     4,856","     5,656","23,125","23,125",,,,,93%
Roberts Wesleyan College,Rochester,NY,NCAA  II ,M,W,"     4,895","     5,010","29,540","29,540",470,590,20,26,66%
Arizona Christian University,Phoenix,AZ,NAIA  ,,W,"     5,026","     6,777","23,896","23,896",473,550,19,23,51%
Mars Hill University,Mars Hill,NC,NCAA  II ,M,W,"     5,117","     5,686","30,534","30,534",410,500,17,22,61%
Indiana University of Pennsylvania,Indiana,PA,NCAA  II ,M,W,"     5,130","     2,842","11,368","22,377",430,530,17,22,88%
Ashland University,Ashland,OH,NCAA  II ,M,W,"     5,197","     6,292","20,392","20,392",460,540,20,25,77%
Colorado School of Mines,Golden,CO,NCAA  II ,M,W,"     5,429","     6,101","17,842","36,172",650,730,28,32,38%
University of Tampa,Tampa,FL,NCAA  II ,M,W,"     5,455","     6,073","27,740","27,740",500,590,22,26,51%
West Virginia Wesleyan College,Buckhannon,WV,NCAA  II ,M,W,"     5,693","     4,778","29,752","29,752",420,550,20,25,77%
Emmanuel College,Franklin Springs,GA,NCAA  II ,M,W,"     5,710","     8,204","19,330","19,330",400,530,,,34%
Marist College,Poughkeepsie,NY,NCAA  I,M,W,"     5,890","     8,156","35,210","35,210",,,,,45%
Limestone College,Gaffney,SC,NCAA  II ,M,W,"     5,897","     9,364","23,900","23,900",410,510,16,21,46%
University of Mary,Bismarck,ND,NCAA  II ,,W,"     5,906","     8,154","17,445","17,445",460,580,20,26,96%
Bentley University,Waltham,MA,NCAA  II ,M,W,"     5,907","     6,459","45,760","45,760",600,690,26,30,42%
Indiana Wesleyan University,Marion,IN,NAIA  ,,W,"     5,913","     6,105","25,346","25,346",470,600,21,27,95%
Soka University of America,Aliso Viejo,CA,NAIA  ,M,W,"     6,053","     5,832","31,042","31,042",580,740,24,30,46%
Notre Dame College,Cleveland,OH,NCAA  II ,M,W,"     6,069","     5,837","28,300","28,300",380,483,17,21,91%
University of the Cumberlands,Williamsburg,KY,NAIA  ,M,W,"     6,145","     7,386","23,000","23,000",450,550,19,25,68%
Barton College,Wilson,NC,NCAA  II ,M,W,"     6,204","     7,516","29,052","29,052",430,540,18,23,42%
Davis & Elkins College,Elkins,WV,NCAA  II ,M,W,"     6,414","     6,410","28,842","28,842",390,520,17,22,59%
King University,Bristol,TN,NCAA  II ,M,W,"     6,486","     7,856","27,276","27,276",410,550,19,25,44%
